title,price,url,image_url
"WE LOVE
BALENCIAGA
Neo Cagole City leather handbag
10.257 DKK
Italy",10.257 DKK,https://www.vestiairecollective.com/women-bags/handbags/balenciaga/black-leather-neo-cagole-city-balenciaga-handbag-65090187.shtml,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/black-leather-neo-cagole-city-balenciaga-handbag-65090187-1_2.jpg"
"WE LOVE
BALENCIAGA
Ville Top Handle leather crossbody bag
4.022 DKK
Croatia",4.022 DKK,https://www.vestiairecollective.com/women-bags/handbags/balenciaga/black-leather-ville-top-handle-balenciaga-handbag-64644637.shtml,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/black-leather-ville-top-handle-balenciaga-handbag-64644637-1_3.jpg"
"BALENCIAGA
Le Cagole leather handbag
6.664 DKK
5.310 DKK
Cyprus",DKK 5.310,https://www.vestiairecollective.com/women-bags/handbags/balenciaga/other-leather-le-cagole-balenciaga-handbag-65078072.shtml,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/other-leather-le-cagole-balenciaga-handbag-65078072-1_3.jpg"
"WE LOVE
BALENCIAGA
Le Cagole leather handbag
7.257 DKK
Finland",7.257 DKK,https://www.vestiairecollective.com/women-bags/handbags/balenciaga/black-leather-le-cagole-balenciaga-handbag-64916311.shtml,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/black-leather-le-cagole-balenciaga-handbag-64916311-1_2.jpg"
"BALENCIAGA
Crush handbag
6.195 DKK
Ireland",6.195 DKK,https://www.vestiairecollective.com/women-bags/handbags/balenciaga/black-denim-jeans-crush-balenciaga-handbag-65148932.shtml,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/black-denim-jeans-crush-balenciaga-handbag-65148932-1_2.jpg"
"BALENCIAGA
Shopping Phone Holder patent leather crossbody bag
3.983 DKK
Greece",3.983 DKK,https://www.vestiairecollective.com/women-bags/handbags/balenciaga/black-patent-leather-shopping-phone-holder-balenciaga-handbag-65237300.shtml,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/black-patent-leather-shopping-phone-holder-balenciaga-handbag-65237300-1_2.jpg"
"BALENCIAGA
Ville Top Handle leather handbag
4.868 DKK
4.416 DKK
Italy",DKK 4.416,https://www.vestiairecollective.com/women-bags/handbags/balenciaga/green-leather-ville-top-handle-balenciaga-handbag-65070495.shtml,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/green-leather-ville-top-handle-balenciaga-handbag-65070495-1_4.jpg"
"WE LOVE
BALENCIAGA
Le Cagole leather handbag
5.753 DKK
Germany",5.753 DKK,https://www.vestiairecollective.com/women-bags/handbags/balenciaga/blue-leather-le-cagole-balenciaga-handbag-64654909.shtml,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/blue-leather-le-cagole-balenciaga-handbag-64654909-1_3.jpg"
"WE LOVE
BALENCIAGA
BB chain leather handbag
4.071 DKK
3.452 DKK
Germany",DKK 3.452,https://www.vestiairecollective.com/women-bags/handbags/balenciaga/black-leather-bb-chain-balenciaga-handbag-65006967.shtml,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/black-leather-bb-chain-balenciaga-handbag-65006967-1_2.jpg"
"VINTAGE
BALENCIAGA
City leather handbag
7.522 DKK
Ireland",7.522 DKK,https://www.vestiairecollective.com/women-bags/handbags/balenciaga/black-leather-city-balenciaga-handbag-65180827.shtml,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/black-leather-city-balenciaga-handbag-65180827-1_2.jpg"
